username,repo_name,stars,repo_url
microsoft,calculator,25200,https://github.com/microsoft/calculator
files-community,Files,23000,https://github.com/files-community/Files
ShareX,ShareX,20200,https://github.com/ShareX/ShareX
mxgmn,WaveFunctionCollapse,19100,https://github.com/mxgmn/WaveFunctionCollapse
dotnet,corefx,17900,https://github.com/dotnet/corefx
thangchung,awesome-dotnet-core,16400,https://github.com/thangchung/awesome-dotnet-core
dotnet,roslyn,16100,https://github.com/dotnet/roslyn
jellyfin,jellyfin,15400,https://github.com/jellyfin/jellyfin
quozd,awesome-dotnet,14900,https://github.com/quozd/awesome-dotnet
doocs,leetcode,14600,https://github.com/doocs/leetcode
AvaloniaUI,Avalonia,14300,https://github.com/AvaloniaUI/Avalonia
pulumi,pulumi,12900,https://github.com/pulumi/pulumi
antlr,antlr4,12500,https://github.com/antlr/antlr4
Ryujinx,Ryujinx,12200,https://github.com/Ryujinx/Ryujinx
OpenRA,OpenRA,11500,https://github.com/OpenRA/OpenRA
aspnetboilerplate,aspnetboilerplate,10400,https://github.com/aspnetboilerplate/aspnetboilerplate
veler,DevToys,10400,https://github.com/veler/DevToys
bitwarden,server,10000,https://github.com/bitwarden/server
mono,mono,9900,https://github.com/mono/mono
carlospolop,PEASS-ng,9400,https://github.com/carlospolop/PEASS-ng
apache,thrift,9200,https://github.com/apache/thrift
dotnet,csharplang,8900,https://github.com/dotnet/csharplang
dotansimha,graphql-code-generator,8900,https://github.com/dotansimha/graphql-code-generator
BeyondDimension,SteamTools,8700,https://github.com/BeyondDimension/SteamTools
MonoGame,MonoGame,8600,https://github.com/MonoGame/MonoGame
JustArchiNET,ArchiSteamFarm,8300,https://github.com/JustArchiNET/ArchiSteamFarm
abpframework,abp,8200,https://github.com/abpframework/abp
quicktype,quicktype,8300,https://github.com/quicktype/quicktype
dotnet,BenchmarkDotNet,7800,https://github.com/dotnet/BenchmarkDotNet
rocksdanister,lively,7700,https://github.com/rocksdanister/lively
