username,repo_name,stars,repo_url
jwasham,coding-interview-university,223000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,145000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,108000,https://github.com/labuladong/fucking-algorithm
azl397985856,leetcode,48600,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,46700,https://github.com/TheAlgorithms/Java
raywenderlich,swift-algorithm-club,26600,https://github.com/raywenderlich/swift-algorithm-club
huihut,interview,24800,https://github.com/huihut/interview
TheAlgorithms,JavaScript,20400,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,20000,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,C,13900,https://github.com/TheAlgorithms/C
OI-wiki,OI-wiki,11000,https://github.com/OI-wiki/OI-wiki
TheAlgorithms,Go,10200,https://github.com/TheAlgorithms/Go
careercup,CtCI-6th-Edition,10000,https://github.com/careercup/CtCI-6th-Edition
TheAlgorithms,Rust,8400,https://github.com/TheAlgorithms/Rust
AkashSingh3031,The-Complete-FAANG-Preparation,7900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
kunal-kushwaha,DSA-Bootcamp-Java,7700,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
amejiarosario,dsa.js-data-structures-algorithms-javascript,6700,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
seanprashad,leetcode-patterns,6500,https://github.com/seanprashad/leetcode-patterns
changgyhub,leetcode_101,6400,https://github.com/changgyhub/leetcode_101
grandyang,leetcode,5900,https://github.com/grandyang/leetcode
mahmoud,boltons,5800,https://github.com/mahmoud/boltons
twowaits,SDE-Interview-Questions,6000,https://github.com/twowaits/SDE-Interview-Questions
crossbeam-rs,crossbeam,5000,https://github.com/crossbeam-rs/crossbeam
aalhour,C-Sharp-Algorithms,4900,https://github.com/aalhour/C-Sharp-Algorithms
mandliya,algorithms_and_data_structures,4900,https://github.com/mandliya/algorithms_and_data_structures
teivah,algodeck,4700,https://github.com/teivah/algodeck
OmkarPathak,pygorithm,4300,https://github.com/OmkarPathak/pygorithm
soapyigu,LeetCode-Swift,4300,https://github.com/soapyigu/LeetCode-Swift
TheAlgorithms,C-Sharp,4200,https://github.com/TheAlgorithms/C-Sharp
phishman3579,java-algorithms-implementation,4100,https://github.com/phishman3579/java-algorithms-implementation
