username,repo_name,stars,repo_url
etcd-io,etcd,40400,https://github.com/etcd-io/etcd
pingcap,tidb,31700,https://github.com/pingcap/tidb
SheetJS,sheetjs,30600,https://github.com/SheetJS/sheetjs
LeCoupa,awesome-cheatsheets,29400,https://github.com/LeCoupa/awesome-cheatsheets
metabase,metabase,29000,https://github.com/metabase/metabase
typeorm,typeorm,28700,https://github.com/typeorm/typeorm
meilisearch,meilisearch,27700,https://github.com/meilisearch/meilisearch
dbeaver,dbeaver,27200,https://github.com/dbeaver/dbeaver
cockroachdb,cockroach,25000,https://github.com/cockroachdb/cockroach
huihut,interview,24800,https://github.com/huihut/interview
prisma,prisma,24000,https://github.com/prisma/prisma
sqlmapproject,sqlmap,23900,https://github.com/sqlmapproject/sqlmap
influxdata,influxdb,23700,https://github.com/influxdata/influxdb
facebook,rocksdb,23000,https://github.com/facebook/rocksdb
mongodb,mongo,22000,https://github.com/mongodb/mongo
PostgREST,postgrest,18900,https://github.com/PostgREST/postgrest
taosdata,TDengine,18600,https://github.com/taosdata/TDengine
dgraph-io,dgraph,18200,https://github.com/dgraph-io/dgraph
typicode,lowdb,17900,https://github.com/typicode/lowdb
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
prisma,prisma1,16800,https://github.com/prisma/prisma1
directus,directus,16700,https://github.com/directus/directus
sqlitebrowser,sqlitebrowser,16700,https://github.com/sqlitebrowser/sqlitebrowser
apache,shardingsphere,16200,https://github.com/apache/shardingsphere
amark,gun,16100,https://github.com/amark/gun
realm,realm-swift,15400,https://github.com/realm/realm-swift
pouchdb,pouchdb,15100,https://github.com/pouchdb/pouchdb
Vonng,ddia,14800,https://github.com/Vonng/ddia
valeriansaliou,sonic,13300,https://github.com/valeriansaliou/sonic
timescale,timescaledb,13300,https://github.com/timescale/timescaledb
